corpus_name,corpus_path,num_chars,vocab_size,H1,H2,H3,conditional_bigram_entropy,distinct_2,distinct_3,distinct_4,gzip_compression_ratio,model_name,checkpoint_path,train_tokens,val_tokens,test_tokens,block_size,embedding_dim,num_heads,num_layers,max_steps,batch_size,eval_iters,train_loss,val_loss,test_loss_mean,test_loss_sd,test_loss_se,test_loss_ci_low,test_loss_ci_high,test_ppl,generalization_gap
medium,experiments/effective_tokens/corpora/medium.txt,1000000,94,3.100841984069459,5.5460243340476145,7.405767727232743,2.4451823095664365,0.001579001579001579,0.010076020152040304,0.037846113538340616,0.35792537123424345,transformer,experiments/runs/effective_tokens/medium/transformer/model.pt,800000,100000,100000,128,64,4,2,5000,32,100,1.7679353535175324,1.841342920064926,1.8355210328102112,0.02859747979416045,0.002859747979416045,1.8299159267705558,1.8411261388498665,6.268399336447817,0.06758567929267878
medium,experiments/effective_tokens/corpora/medium.txt,1000000,94,3.100841984069459,5.5460243340476145,7.405767727232743,2.4451823095664365,0.001579001579001579,0.010076020152040304,0.037846113538340616,0.35792537123424345,llama,experiments/runs/effective_tokens/medium/llama/model.pt,800000,100000,100000,128,64,4,2,5000,32,100,1.3644788920879365,1.4553661286830901,1.4637979936599732,0.030807044298080056,0.0030807044298080057,1.4577598129775495,1.4698361743423969,4.322344630895844,0.09931910157203672
high,experiments/effective_tokens/corpora/high.txt,999998,102,3.130754085867477,5.6084483641227285,7.587991494378645,2.477692938949159,0.002181006543019629,0.015749062996251985,0.05920129600648003,0.40663478933598957,transformer,experiments/runs/effective_tokens/high/transformer/model.pt,799998,100000,100000,128,64,4,2,5000,32,100,1.9198047339916229,1.8916178286075591,1.9596509647369384,0.03429137091107639,0.003429137091107639,1.9529298560383674,1.9663720734355095,7.09684958205652,0.03984623074531557
high,experiments/effective_tokens/corpora/high.txt,999998,102,3.130754085867477,5.6084483641227285,7.587991494378645,2.477692938949159,0.002181006543019629,0.015749062996251985,0.05920129600648003,0.40663478933598957,llama,experiments/runs/effective_tokens/high/llama/model.pt,799998,100000,100000,128,64,4,2,5000,32,100,1.626817387342453,1.6244673490524293,1.701015681028366,0.04219134506664987,0.004219134506664987,1.6927461773953028,1.7092851846614294,5.479510000683241,0.07419829368591313
